order_id,order_date,product_id,quantity,unit_price,customer_id
1,2022-05-03,8,2,674.27,91
2,2022-10-10,86,1,491.31,49
3,2022-12-01,75,10,838.91,62
4,2021-11-13,58,4,597.23,40
5,2023-01-20,35,3,153.58,65
6,2023-11-07,18,7,371.32,81
7,2022-10-16,68,8,961.61,74
8,2021-09-05,20,4,725.55,54
9,2022-07-20,93,8,138.77,83
10,2023-04-01,23,5,493.31,47
11,2023-01-22,74,5,979.84,89
12,2021-09-10,33,8,309.16,92
13,2022-04-03,11,8,575.8,11
14,2021-11-07,48,9,694.8,31
15,2021-01-09,4,6,114.21,20
16,2023-05-10,42,4,783.1,66
17,2021-11-09,27,1,644.29,71
18,2022-06-13,59,8,363.38,85
19,2022-09-03,21,4,990.39,56
20,2021-05-23,80,1,672.03,48
21,2021-04-15,22,8,181.69,9
22,2022-08-23,74,8,466.93,98
23,2021-09-13,19,2,694.36,92
24,2022-07-08,7,6,870.16,59
25,2021-12-09,15,3,551.98,6
26,2022-06-07,5,8,670.52,10
27,2021-06-04,88,10,167.34,52
28,2023-10-07,16,6,142.77,85
29,2021-05-15,18,2,903.98,34
30,2022-12-06,88,3,786.55,63
31,2023-07-03,68,1,901.56,97
32,2021-03-04,94,6,154.07,45
33,2022-04-08,16,4,426.77,65
34,2022-04-12,55,1,446.49,45
35,2023-05-30,42,9,513.26,91
36,2021-10-04,43,6,143.32,39
37,2023-06-30,80,1,563.55,66
38,2023-11-12,53,9,288.66,79
39,2023-01-19,55,2,242.35,52
40,2022-12-08,51,2,538.83,14
41,2022-01-01,87,6,824.5,20
42,2023-12-22,14,9,421.46,40
43,2022-07-11,60,9,384.03,37
44,2023-12-23,49,9,695.62,12
45,2022-08-25,15,3,310.19,59
46,2023-11-25,30,3,668.76,99
47,2023-02-01,1,5,396.04,25
48,2023-08-20,37,10,325.56,13
49,2023-01-02,57,9,365.87,27
50,2021-02-17,26,5,572.33,10
51,2021-09-29,89,8,586.17,91
52,2023-02-18,23,5,445.55,86
53,2022-12-03,44,8,346.32,36
54,2022-08-18,17,7,902.12,21
55,2023-06-06,2,5,371.93,94
56,2023-03-03,56,5,231.45,77
57,2022-03-02,27,4,332.01,55
58,2022-10-24,80,8,216.9,16
59,2021-07-06,95,7,134.25,9
60,2023-05-07,42,2,832.02,9
61,2021-03-02,93,2,485.44,17
62,2022-03-31,51,5,142.29,48
63,2022-05-19,69,10,866.44,1
64,2022-04-12,18,9,270.4,7
65,2021-02-25,14,4,415.61,78
66,2022-06-15,74,6,867.03,50
67,2021-05-24,16,2,329.33,71
68,2021-05-01,96,7,906.43,91
69,2021-12-11,4,1,53.27,67
70,2023-05-05,25,7,546.94,46
71,2023-01-25,84,5,256.46,25
72,2022-08-30,23,9,48.3,33
73,2021-06-19,36,5,405.65,94
74,2023-05-10,45,7,832.93,42
75,2021-03-03,25,2,322.04,99
76,2021-01-30,48,3,109.72,35
77,2022-12-25,18,2,927.93,73
78,2023-06-30,31,2,187.42,81
79,2021-03-28,52,2,152.94,38
80,2022-12-21,79,9,31.71,25
81,2023-09-01,25,6,743.86,13
82,2021-10-14,32,10,895.59,63
83,2022-10-27,29,9,974.58,72
84,2023-03-02,16,3,113.77,42
85,2023-03-20,45,5,391.53,78
86,2022-10-23,3,6,937.06,80
87,2023-11-17,74,3,874.24,90
88,2023-08-13,24,9,362.5,3
89,2021-07-23,86,10,500.74,21
90,2022-12-19,92,3,719.12,29
91,2023-10-24,34,6,52.87,69
92,2021-05-16,16,8,32.25,84
93,2022-12-28,48,8,137.92,11
94,2021-05-20,21,9,955.38,8
95,2022-09-07,56,4,639.51,79
96,2022-11-12,26,4,555.77,89
97,2023-02-19,72,9,370.01,1
98,2022-08-11,31,6,953.71,4
99,2022-05-30,64,2,699.45,87
100,2022-04-05,64,3,584.52,36
101,2023-06-03,43,10,475.95,94
102,2022-10-31,7,8,603.86,75
103,2023-08-27,49,10,305.31,51
104,2023-09-19,54,8,234.89,94
105,2022-10-01,95,4,536.02,15
106,2023-02-28,26,9,755.47,24
107,2023-02-26,85,5,602.65,18
108,2022-04-29,44,8,777.35,71
109,2022-01-09,79,9,293.08,47
110,2021-09-03,41,6,922.41,93
111,2021-11-08,25,7,947.83,5
112,2021-07-08,67,1,210.72,5
113,2021-10-28,67,1,369.74,2
114,2021-04-02,66,1,244.51,75
115,2021-07-27,61,4,962.21,14
116,2022-07-01,90,2,572.94,79
117,2023-02-18,53,5,457.5,23
118,2021-11-29,99,9,411.39,4
119,2022-11-06,11,7,306.9,89
120,2021-02-16,38,9,761.8,96
121,2022-01-22,39,8,120.36,88
122,2023-12-20,97,4,330.53,25
123,2023-10-15,72,10,251.32,88
124,2021-03-24,30,1,368.8,13
125,2021-08-01,33,5,311.1,1
126,2022-06-18,64,1,509.5,87
127,2023-07-31,84,2,796.18,7
128,2022-08-27,52,3,94.86,26
129,2022-12-25,64,3,635.92,57
130,2022-10-22,47,9,139.96,27
131,2021-05-29,96,7,542.61,43
132,2021-12-15,86,2,795.18,49
133,2023-10-23,83,10,545.56,58
134,2023-05-09,10,8,16.87,41
135,2021-07-13,63,5,800.21,96
136,2023-08-19,76,6,21.17,47
137,2021-11-21,92,1,394.52,22
138,2021-01-01,100,2,331.66,17
139,2023-05-13,72,5,355.4,4
140,2023-04-05,41,5,561.12,44
141,2021-02-04,1,7,299.31,94
142,2022-09-02,60,1,800.34,60
143,2022-11-26,40,1,356.65,65
144,2021-02-20,16,3,390.91,24
145,2021-01-12,96,3,427.78,82
146,2022-07-05,2,5,844.36,32
147,2022-12-21,73,7,768.4,17
148,2023-12-06,98,2,345.69,91
149,2021-01-02,65,8,134.55,91
150,2022-02-19,64,7,362.37,15
151,2023-10-19,85,3,52.78,83
152,2023-08-08,32,8,654.02,87
153,2021-06-05,5,4,770.01,35
154,2021-08-21,27,4,249.97,64
155,2021-01-28,63,9,154.53,65
156,2021-07-22,91,4,263.63,95
157,2022-03-12,46,1,706.2,34
158,2023-04-23,83,8,186.21,46
159,2023-12-26,25,8,351.38,45
160,2022-12-14,46,5,400.92,86
161,2021-03-20,19,2,208.35,26
162,2021-04-05,31,6,266.64,30
163,2023-04-01,51,1,370.69,62
164,2023-02-07,20,2,380.47,75
165,2023-11-14,20,4,571.43,48
166,2023-04-28,19,3,535.86,91
167,2023-06-04,88,7,151.1,27
